Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
JS 189 (Section 80),49986,Fully Online,Senior Seminar: Contemporary Problems,,3.0,SEM,TBA,TBA,Natalie Birthelmer,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
JS 201 (Section 01),44459,In Person,Justice and Social Theory,GWAR,3.0,SEM,R,04:30PM-07:15PM,Alessandro De Giorgi,MH526,08/21/23-12/06/23,4,,2023,Fall
JS 202 (Section 01),44332,In Person,Survey of Research Methods,,3.0,SEM,W,04:30PM-07:15PM,Gabriela Gonzalez,MH526,08/21/23-12/06/23,6,,2023,Fall
JS 204 (Section 01),45266,In Person,"Justice Organizations, Ethics a Change",,3.0,SEM,T,04:30PM-07:15PM,Edith Kinney,MH235,08/21/23-12/06/23,10,,2023,Fall
JS 206 (Section 01),47623,In Person,Seminar in Juvenile Justice,,3.0,SEM,M,04:30PM-07:15PM,Claudio Vera Sanchez,MH526,08/21/23-12/06/23,9,,2023,Fall
JS 207 (Section 01),44333,In Person,Seminar in Qualitative Research Methods,,3.0,SEM,T,04:30PM-07:15PM,Ericka Adams,MH526,08/21/23-12/06/23,7,,2023,Fall
JS 25 (Section 01),47628,In Person,Introduction to Human Rights and Justice,GE: D,3.0,LEC,TR,10:30AM-11:45AM,Kevin Lynch,MH520,08/21/23-12/06/23,1,,2023,Fall
JS 25 (Section 80),47629,Fully Online,Introduction to Human Rights and Justice,GE: D,3.0,LEC,TBA,TBA,Edith Kinney,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
JS 281 (Section 80),48586,Fully Online,Justice Practicum,,1.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/23-12/06/23,5,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
JS 281 (Section 81),48583,Fully Online,Justice Practicum,,2.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/23-12/06/23,5,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
JS 281 (Section 82),47423,Fully Online,Justice Practicum,,3.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/23-12/06/23,4,,2023,Fall
PB - Prereq - Upper division standing.,,,,,,,,,,,,,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
JS 298 (Section 80),41535,Fully Online,Special Study,,1.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/23-12/06/23,5,,2023,Fall
JS 298 (Section 81),43131,Fully Online,Special Study,,2.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/23-12/06/23,5,,2023,Fall
JS 298 (Section 82),43684,Fully Online,Special Study,,3.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/23-12/06/23,3,,2023,Fall
RD - Requires department approval.,,,,,,,,,,,,,,2023,Fall
JS 299 (Section 80),50906,Fully Online,Master's Thesis,,3.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/23-12/06/23,5,,2023,Fall
JS 299 (Section 81),50907,Fully Online,Master's Thesis,,6.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/23-12/06/23,5,,2023,Fall
JWSS 111 (Section 80),48338,Fully Online,Special Topics in Jewish Studies,,3.0,LEC,MW,12:00PM-01:15PM,Rokhl Kafrissen,ONLINE,08/21/23-12/06/23,26,Course Topic: Yiddish History and Culture FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
JWSS 90 (Section 01),49606,In Person,Bible History and Literature,GE: C2,3.0,LEC,MW,10:30AM-11:45AM,Todd Perreira,DMH226B,08/21/23-12/06/23,25,,2023,Fall
JWSS 90 (Section 80),49607,Fully Online,Bible History and Literature,GE: C2,3.0,LEC,TBA,TBA,Marianne Delaporte Kabir,ONLINE,08/21/23-12/06/23,25,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
KIN 1 (Section 01),47088,In Person,Adapted Physical Activities,PE: PhysEd,1.0,ACT,TR,12:30PM-01:20PM,Adriane Cris Tomimbang,YUH126,08/21/23-12/06/23,0,,2023,Fall
RM - Disabled students only.,,,,,,,,,,,,,,2023,Fall
KIN 100W (Section 01),41703,In Person,Writing Workshop,WID,3.0,SEM,MW,09:00AM-10:15AM,Daniel Bohigian,SPXC152,08/21/23-12/06/23,0,PU - At first class meeting students must furnish proof of completion of prerequisites.,2023,Fall
KIN 100W (Section 02),41993,In Person,Writing Workshop,WID,3.0,SEM,MW,10:30AM-11:45AM,Daniel Bohigian,SPXC152,08/21/23-12/06/23,0,PU - At first class meeting students must furnish proof of completion of prerequisites.,2023,Fall
KIN 100W (Section 03),43407,In Person,Writing Workshop,WID,3.0,SEM,MW,12:00PM-01:15PM,Matt Crockett,YUH128,08/21/23-12/06/23,0,PU - At first class meeting students must furnish proof of completion of prerequisites.,2023,Fall
KIN 100W (Section 06),43968,In Person,Writing Workshop,WID,3.0,SEM,TR,01:30PM-02:45PM,Matt Crockett,SH242,08/21/23-12/06/23,0,PU - At first class meeting students must furnish proof of completion of prerequisites.,2023,Fall
KIN 100W (Section 80),49069,Fully Online,Writing Workshop,WID,3.0,SEM,MW,03:00PM-04:15PM,Craig Jones,ONLINE,08/21/23-12/06/23,1,,2023,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,,,,,,,,,,,,,,2023,Fall
KIN 101 (Section 01),42414,In Person,Sport in America,GE: S,3.0,LEC,MW,12:00PM-01:15PM,Stanley Butler,SH242,08/21/23-12/06/23,16,,2023,Fall
KIN 101 (Section 03),50014,In Person,Sport in America,GE: S,3.0,LEC,TR,12:00PM-01:15PM,Matt Crockett,SPXE163,08/21/23-12/06/23,0,,2023,Fall
KIN 107 (Section 02),45797,In Person,Adapted Aquatics,,0,LAB,S,09:00AM-10:50AM,Jihyun Lee,OFFCAMPUS,08/21/23-12/06/23,0,,2023,Fall
KIN 107 (Section 80),45796,Fully Online,Adapted Aquatics,,2.0,LEC,TBA,TBA,Jihyun Lee,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
KIN 108 (Section 01),48720,In Person,Adapted Physical Activity for Young Adults with Disabilities,,2.0,LEC,W,03:00PM-03:50PM,Erin Siebert,OFFCAMPUS,08/21/23-12/06/23,0,"LA - Class meets at off-campus location, students must arrange own transportation.",2023,Fall
KIN 108 (Section 02),48721,In Person,Adapted Physical Activity for Young Adults with Disabilities,,0,LAB,W,09:00AM-10:50AM,Erin Siebert,OFFCAMPUS,08/21/23-12/06/23,0,"LA - Class meets at off-campus location, students must arrange own transportation.",2023,Fall
KIN 111 (Section 01),49070,Hybrid,Sport a Movement in a Global Context,GE: V,3.0,LEC,M,,,,,,,2023,Fall
TBA,M,,,,,,,,,,,,,2023,Fall
TBA,Michael Dao / Michael Dao,SH242,,,,,,,,,,,,2023,Fall
KIN 111 (Section 80),41941,Fully Online,Sport a Movement in a Global Context,GE: V,3.0,LEC,M,,,,,,,2023,Fall
TBA,M,,,,,,,,,,,,,2023,Fall
TBA,Daniel Murphy / Daniel Murphy,ONLINE,,,,,,,,,,,,2023,Fall
