Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
EE 98 (Section 04),24210,In Person,Introduction to Circuit Analysis,,3.0,SEM,TR,12:00PM-01:15PM,Jalel Rejeb,ENG345,01/24/24-05/13/24,1,2024,Spring
EE 98 (Section 05),27430,In Person,Introduction to Circuit Analysis,,3.0,SEM,MW,04:30PM-05:45PM,Jalel Rejeb,ENG345,01/24/24-05/13/24,1,2024,Spring
EE 98 (Section 06),28812,In Person,Introduction to Circuit Analysis,,3.0,SEM,TR,04:30PM-05:45PM,Robert Morelos-Zaragoza,ENG403,01/24/24-05/13/24,0,2024,Spring
EE 102 (Section 01),21992,In Person,Probability and Statistics in Electrical,,3.0,LEC,MW,09:00AM-10:15AM,Eveline Bellegarda,ENG345,01/24/24-05/13/24,7,2024,Spring
EE 102 (Section 02),27432,In Person,Probability and Statistics in Electrical,,3.0,LEC,MW,04:30PM-05:45PM,Juzi Zhao,DMH234,01/24/24-05/13/24,20,2024,Spring
EE 110 (Section 01),24211,In Person,Circuits and Systems,,3.0,SEM,MW,03:00PM-04:15PM,David Parent,ENG401,01/24/24-05/13/24,0,2024,Spring
EE 110 (Section 02),28813,In Person,Circuits and Systems,,3.0,SEM,MW,03:00PM-04:15PM,Tan Nguyen,ENG403,01/24/24-05/13/24,0,2024,Spring
EE 110L (Section 01),21478,In Person,Continuous and Discrete Time Systems Lab,,1.0,LAB,F,09:30AM-12:15PM,Sai Vikram Adithya Bokka,ENG258,01/24/24-05/13/24,0,2024,Spring
EE 110L (Section 03),26793,In Person,Continuous and Discrete Time Systems Lab,,1.0,LAB,F,12:30PM-03:15PM,Nikhil Vaitla,ENG258,01/24/24-05/13/24,0,2024,Spring
EE 112 (Section 01),20119,In Person,Introduction to Signal Processing,,3.0,SEM,TR,10:30AM-11:45AM,Essam Marouf,ENG345,01/24/24-05/13/24,1,2024,Spring
EE 112 (Section 02),27434,In Person,Introduction to Signal Processing,,3.0,SEM,TR,01:30PM-02:45PM,Essam Marouf,ENG303,01/24/24-05/13/24,1,2024,Spring
EE 118 (Section 01),20588,In Person,Digital Logic Circuit Design,,4.0,SEM,TR,07:30AM-08:45AM,Jeonghee Kim,ENG345,01/24/24-05/13/24,4,2024,Spring
EE 118 (Section 02),20540,In Person,Digital Logic Circuit Design,,0,LAB,M,12:00PM-02:45PM,Tejaswani Dasari,ENG305,01/24/24-05/13/24,0,2024,Spring
EE 118 (Section 03),20466,In Person,Digital Logic Circuit Design,,0,LAB,W,12:00PM-02:45PM,Sai Prasanna Kumar Varikallu,ENG305,01/24/24-05/13/24,0,2024,Spring
EE 118 (Section 05),26776,In Person,Digital Logic Circuit Design,,0,LAB,R,03:00PM-05:45PM,Likith Sodishetty Venkataramana,ENG305,01/24/24-05/13/24,0,2024,Spring
