Section,Class Number,Mode of Instruction,Course Title,Satisfies,Units,Type,Days,Times,Instructor,Location,Dates,Open Seats,Notes,Year,Semester
CHAD 152 (Section 01),43643,In Person,Foundations for Early Childhood Curriculum,,3.0,LEC,MW,09:00AM-10:15AM,Teresa O'Donnell-Johnson,SH315,08/21/23-12/06/23,7,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 156 (Section 80),49921,Fully Online,Social Media and Youth Civic Engagement,,3.0,LEC,TBA,TBA,Amita Shah,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 157 (Section 80),49919,Fully Online,Program Management in Community Organizations,,3.0,LEC,TBA,TBA,Sylvia Branca,ONLINE,08/21/23-12/06/23,0,,2023,Fall
CHAD 158 (Section 01),41776,In Person,Practicum in Community Organizations,,3.0,LEC,W,09:00AM-09:50AM,Dina Izenstark,SH231,08/21/23-12/06/23,0,,2023,Fall
CHAD 158 (Section 02),44378,In Person,Practicum in Community Organizations,,3.0,LAB,TBA,TBA,Dina Izenstark,,08/21/23-12/06/23,0,,2023,Fall
CHAD 159 (Section 01),41777,In Person,Practicum in K-8 Education,,3.0,LEC,T,01:30PM-02:20PM,Robert Marx [They/He],SH231,08/21/23-12/06/23,0,,2023,Fall
CHAD 159 (Section 02),44379,In Person,Practicum in K-8 Education,,3.0,LAB,TBA,TBA,Robert Marx [They/He],,08/21/23-12/06/23,0,,2023,Fall
CHAD 160 (Section 01),40168,In Person,Practicum in Early Childhood Education,,3.0,LEC,R,04:00PM-04:50PM,Joy Foster,SH211,08/21/23-12/06/23,9,,2023,Fall
IC - See course description for requirements.,,,,,,,,,,,,,,2023,Fall
CHAD 160 (Section 02),40169,In Person,Practicum in Early Childhood Education,,0,LAB,MW,08:45AM-11:45AM,Joy Foster,CCB118,08/21/23-12/06/23,1,,2023,Fall
CHAD 160 (Section 03),40170,In Person,Practicum in Early Childhood Education,,0,LAB,TR,08:45AM-11:45AM,Joy Foster,CCB118,08/21/23-12/06/23,0,,2023,Fall
CHAD 160 (Section 04),41787,In Person,Practicum in Early Childhood Education,,0,LAB,MW,12:15PM-03:15PM,Joy Foster,CCB118,08/21/23-12/06/23,0,,2023,Fall
CHAD 160 (Section 05),40171,In Person,Practicum in Early Childhood Education,,0,LAB,TR,12:15PM-03:15PM,Joy Foster,CCB118,08/21/23-12/06/23,1,,2023,Fall
CHAD 160 (Section 06),44069,In Person,Practicum in Early Childhood Education,,0,LAB,MW,08:40AM-11:40AM,Jessica Fraser,SH117O,08/21/23-12/06/23,1,,2023,Fall
CHAD 160 (Section 07),44070,In Person,Practicum in Early Childhood Education,,0,LAB,TR,08:40AM-11:40AM,Jessica Fraser,SH117O,08/21/23-12/06/23,2,,2023,Fall
CHAD 161 (Section 80),49127,Fully Online,Administration of Early Childhood Programs,,3.0,LEC,TBA,TBA,Mary Conroy,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 161 (Section 81),50394,Fully Online,Administration of Early Childhood Programs,,3.0,LEC,TBA,TBA,Mary Conroy,ONLINE,08/21/23-12/06/23,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus,2023,Fall
CHAD 162 (Section 01),42888,In Person,Cultural Influences in Childhood and Adolescence,,3.0,LEC,MW,01:30PM-02:45PM,Nadia Sorkhabi / Ravisha Mathur,SH231,08/21/23-12/06/23,4,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 162 (Section 80),42889,Fully Online,Cultural Influences in Childhood and Adolescence,,3.0,LEC,TBA,TBA,Amita Shah,ONLINE,08/21/23-12/06/23,0,,2023,Fall
CHAD 163 (Section 01),48994,In Person,Critical Issues in Adolescent Development,,3.0,LEC,MW,09:00AM-10:15AM,Paula Bonander Oakes,SH334,08/21/23-12/06/23,3,,2023,Fall
CHAD 163 (Section 02),48995,In Person,Critical Issues in Adolescent Development,,3.0,LEC,MW,10:30AM-11:45AM,Paula Bonander Oakes,SH334,08/21/23-12/06/23,10,,2023,Fall
CHAD 164 (Section 01),41790,In Person,Contemporary Parenting,,3.0,LEC,MW,10:30AM-11:45AM,Amita Shah,SH239,08/21/23-12/06/23,0,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 164 (Section 02),43645,In Person,Contemporary Parenting,,3.0,LEC,MW,12:00PM-01:15PM,Amita Shah,SH239,08/21/23-12/06/23,0,PV - Prerequisite courses required. See course description.,2023,Fall
CHAD 165 (Section 01),43647,Hybrid,Risk and Resilience in a Community Context,,3.0,LEC,R,09:00AM-10:15AM,Maureen Smith She/Her,SH311,08/21/23-12/06/23,1,,2023,Fall
CHAD 165 (Section 02),43648,Hybrid,Risk and Resilience in a Community Context,,3.0,LEC,R,10:30AM-11:45AM,Maureen Smith She/Her,SH311,08/21/23-12/06/23,0,,2023,Fall
CHAD 168 (Section 01),43632,In Person,Social and Emotional Development,,3.0,LEC,TR,09:00AM-10:15AM,Krissy Connell,SH211,08/21/23-12/06/23,0,PV - Prerequisite courses required. See course description.,2023,Fall
