Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
CS 146 (Section 06),46764,In Person,Data Structures and Algorithms,,3.0,LEC,TR,06:00PM-07:15PM,Vidya Rangasayee,CL111,08/21/24-12/09/24,0,2024,Fall
CS 146 (Section 07),50425,In Person,Data Structures and Algorithms,,3.0,LEC,TR,10:30AM-11:45AM,Maryam Khazaei Pool,MH233,08/21/24-12/09/24,1,2024,Fall
CS 147 (Section 02),49951,Hybrid,Computer Architecture,,3.0,SEM,T,2024,Fall
CS 149 (Section 01),42242,In Person,Operating Systems,,3.0,SEM,TR,07:30AM-08:45AM,Faramarz Mortezaie,SCI164,08/21/24-12/09/24,34,2024,Fall
CS 149 (Section 02),42243,In Person,Operating Systems,,3.0,SEM,MW,12:00PM-01:15PM,William Andreopoulos,MH223,08/21/24-12/09/24,0,2024,Fall
CS 149 (Section 03),50198,In Person,Operating Systems,,3.0,SEM,TR,10:30AM-11:45AM,Sriram Rao,MH225,08/21/24-12/09/24,4,2024,Fall
CS 149 (Section 04),50431,In Person,Operating Systems,,3.0,SEM,MW,10:30AM-11:45AM,Kai Mast,DH416,08/21/24-12/09/24,4,2024,Fall
CS 151 (Section 01),49362,In Person,Object-Oriented Design,,3.0,SEM,MW,03:00PM-04:15PM,Ahmad Yazdankhah,SCI311,08/21/24-12/09/24,0,2024,Fall
CS 151 (Section 02),49091,In Person,Object-Oriented Design,,3.0,SEM,MW,10:30AM-11:45AM,Chung-Wen Tsao,IS113,08/21/24-12/09/24,13,2024,Fall
CS 151 (Section 03),49092,In Person,Object-Oriented Design,,3.0,SEM,TR,06:00PM-07:15PM,Dominic Abucejo,MH222,08/21/24-12/09/24,0,2024,Fall
CS 151 (Section 04),50423,In Person,Object-Oriented Design,,3.0,SEM,TR,07:30PM-08:45PM,Dominic Abucejo,MH222,08/21/24-12/09/24,16,2024,Fall
CS 151 (Section 07),50587,In Person,Object-Oriented Design,,3.0,SEM,TR,06:00PM-07:15PM,Telvin Zhong,DH416,08/21/24-12/09/24,10,2024,Fall
CS 151 (Section 80),43344,Fully Online,Object-Oriented Design,,3.0,SEM,TR,09:00AM-10:15AM,Suneuy Kim,ONLINE,08/21/24-12/09/24,1,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
