Section,Number,Mode,Title,Satifies,Unit,Type,Days,Times,Instructor,Location,Dates,Seats,Year,Semester
PHIL 134 (Section 80),22174,Fully Online,"Computers, Ethics and Society",GE: 3,3.0,LEC,TBA,TBA,Kyle Yrigoyen,ONLINE,01/23/25-05/12/25,0,2025,Spring
PHIL 134 (Section 81),20354,Fully Online,"Computers, Ethics and Society",GE: 3,3.0,LEC,TBA,TBA,Kyle Yrigoyen,ONLINE,01/23/25-05/12/25,0,2025,Spring
PHIL 134 (Section 82),20355,Fully Online,"Computers, Ethics and Society",GE: 3,3.0,LEC,TBA,TBA,Javier Cardoza-Kon,ONLINE,01/23/25-05/12/25,0,2025,Spring
PHIL 134 (Section 83),20661,Fully Online,"Computers, Ethics and Society",GE: 3,3.0,LEC,TBA,TBA,Javier Cardoza-Kon,ONLINE,01/23/25-05/12/25,1,2025,Spring
PHYS 50 (Section 01),20951,In Person,General Physics I: Mechanics,GE: 5A+5C,4.0,LEC,MW,12:00PM-01:15PM,Elaheh Sigari,SCI142,01/23/25-05/12/25,46,2025,Spring
PHYS 50 (Section 02),23067,In Person,General Physics I: Mechanics,GE: 5A+5C,4.0,LEC,TR,10:30AM-11:45AM,Paul Houck,WSQ109,01/23/25-05/12/25,90,2025,Spring
PHYS 50 (Section 03),28687,In Person,General Physics I: Mechanics,GE: 5A+5C,4.0,LEC,MW,08:00AM-09:15AM,Elaheh Sigari,SCI142,01/23/25-05/12/25,181,2025,Spring
PHYS 50 (Section 11),20952,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Peter Beyersdorf,DH647,01/23/25-05/12/25,0,2025,Spring
PHYS 50 (Section 12),27846,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Peter Beyersdorf,DH647,01/23/25-05/12/25,1,2025,Spring
PHYS 50 (Section 13),20953,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Ranko Heindl,DH647,01/23/25-05/12/25,0,2025,Spring
PHYS 50 (Section 14),20954,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Zachary Coustier,DH647,01/23/25-05/12/25,0,2025,Spring
PHYS 50 (Section 15),20955,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Lawrence Nguyen,DH647,01/23/25-05/12/25,1,2025,Spring
PHYS 50 (Section 16),20956,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Elaheh Sigari,DH647,01/23/25-05/12/25,0,2025,Spring
PHYS 50 (Section 17),20957,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Charity Wei,DH647,01/23/25-05/12/25,2,2025,Spring
PHYS 50 (Section 18),20958,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Azadeh Shahid Faylienejad,DH647,01/23/25-05/12/25,1,2025,Spring
PHYS 50 (Section 19),20959,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Azadeh Shahid Faylienejad,DH647,01/23/25-05/12/25,0,2025,Spring
PHYS 50 (Section 20),20960,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Charity Wei,DH647,01/23/25-05/12/25,0,2025,Spring
PHYS 50 (Section 21),20961,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Lawrence Nguyen,DH647,01/23/25-05/12/25,2,2025,Spring
PHYS 50 (Section 22),27867,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Peter Beyersdorf,DH645,01/23/25-05/12/25,0,2025,Spring
PHYS 50 (Section 23),27868,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Elaheh Sigari,DH645,01/23/25-05/12/25,0,2025,Spring
PHYS 50 (Section 24),22390,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Zachary Coustier,DH645,01/23/25-05/12/25,3,2025,Spring
PHYS 50 (Section 25),22218,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Ryan Duffy,DH645,01/23/25-05/12/25,3,2025,Spring
PHYS 50 (Section 26),21855,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Ryan Duffy,DH645,01/23/25-05/12/25,11,2025,Spring
PHYS 50 (Section 27),20962,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Peter Beyersdorf,DH645,01/23/25-05/12/25,3,2025,Spring
PHYS 50 (Section 28),22219,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Peter Beyersdorf,DH645,01/23/25-05/12/25,8,2025,Spring
PHYS 50 (Section 29),23090,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Peter Beyersdorf,DH645,01/23/25-05/12/25,14,2025,Spring
PHYS 50 (Section 30),24383,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Peter Beyersdorf,DH645,01/23/25-05/12/25,9,2025,Spring
PHYS 50 (Section 31),25075,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Peter Beyersdorf,DH645,01/23/25-05/12/25,7,2025,Spring
PHYS 50 (Section 33),29721,In Person,General Physics I: Mechanics,,0,LAB,TBA,TBA,Peter Beyersdorf,DH645,01/23/25-05/12/25,9,2025,Spring
PHYS 51 (Section 01),20963,In Person,General Physics II: Electricity and Magnetism,GE: 5A+5C,4.0,LEC,TR,01:30PM-02:45PM,Zairac Smith,YUH124,01/23/25-05/12/25,4,2025,Spring
PHYS 51 (Section 03),28689,In Person,General Physics II: Electricity and Magnetism,GE: 5A+5C,4.0,LEC,TR,12:00PM-01:15PM,Olenka Hubickyj,YUH124,01/23/25-05/12/25,12,2025,Spring
PHYS 51 (Section 11),20965,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Paul Houck,DH643,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 12),27900,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Paul Houck / Nargis Adham,DH643,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 13),20966,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Azadeh Shahid Faylienejad,DH643,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 14),20967,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Paul Houck,DH643,01/23/25-05/12/25,0,2025,Spring
PHYS 51 (Section 15),20968,In Person,General Physics II: Electricity and Magnetism,,0,LAB,TBA,TBA,Dawit Yerdea,DH643,01/23/25-05/12/25,0,2025,Spring
